"species","type","chosen","post","oob","prior","plotpost","BF","lx"
"---Palaemon_macrodactylus","untrans","g1",1,0.000319216854649926,"jim_priors3",0,0,1
"---Palaemon_macrodactylus","untrans","g1",0.993043333333333,0.000186180115963615,"jim_priors3",0.00695666666666706,0.00700540090563392,1.01626133106355
"---Palaemon_macrodactylus","pca","g1",0.991385582175048,0.000651578415467674,"jim_priors3",0.00861441782495198,0.00868927083451466,1.0202092828276
"---Palaemon_macrodactylus","pca","g1",0.989598733574319,0.000438853130485664,"jim_priors3",0.010401266425681,0.0105105898712226,1.0244967614164
"---Palaemon_macrodactylus","pca","g1",0.985609392104738,0.000503431281630058,"jim_priors3",0.014390607895262,0.0146007211482952,1.03419092171129
"---Palaemon_macrodactylus","pca","g1",0.985609392104738,0.000503431281630058,"jim_priors3",0.014390607895262,0.0146007211482952,1.03419092171129
"---Palaemon_macrodactylus","pca","g1",0.985609392104738,0.000503431281630058,"jim_priors3",0.014390607895262,0.0146007211482952,1.03419092171129
"---Palaemon_macrodactylus","pca","g1",0.985427621381886,0.000650635365351675,"jim_priors3",0.014572378618114,0.0147878731039413,1.03463668506155
"---Palaemon_macrodactylus","pca","g1",0.98154994634552,0.000518554960177638,"jim_priors3",0.01845005365448,0.0187968566685504,1.0442316605883
"---Palaemon_macrodactylus","pca","g1",0.981234314411264,0.000507709162814312,"jim_priors3",0.018765685588736,0.0191245712804035,1.0450199255429
"---Acanthogobius_flavimanus","pca","g1",0.97853,0.0099127306641796,"jim_priors3",0.02147,0.0219410748776225,1.05181915320455
"---Palaemon_macrodactylus","pca","g1",0.969135725479518,0.00138073869520193,"jim_priors2",0.030864274520482,0.0318472157294694,1.07608658108205
"---Haminoea_japonica","untrans","g1",0.965253333333333,0.00178864610168587,"jim_priors2",0.034746666666667,0.0359974583529026,1.0864192654832
"---Haminoea_japonica","untrans","g1",0.964353333333333,0.0019941770031508,"jim_priors2",0.035646666666667,0.0369643215142448,1.08884063840685
"---Acanthogobius_flavimanus","pca","g1",0.96366,0.0100567850130022,"jim_priors3",0.03634,0.037710395782745,1.09071276478514
"---Polydora_hoplura","pca","g1",0.963391666666667,0.0133527198996879,"flat_priors",0.036608333333333,0.0379994291003137,1.09143890170215
"---Haminoea_japonica","untrans","g1",0.962936666666667,0.00168022402987065,"jim_priors2",0.037063333333333,0.0384898972241162,1.09267220860475
"---Palaemon_macrodactylus","pca","g1",0.96263753428536,0.000665035113854012,"jim_priors3",0.03736246571464,0.0388126001573136,1.09348442146249
"---Polydora_hoplura","pca","g1",0.959465753968254,0.0133199732798931,"flat_priors",0.040534246031746,0.042246683494539,1.10216517232641
"---Palaemon_macrodactylus","untrans","g1",0.95921,0.00022603677751333,"jim_priors3",0.04079,0.042524577516915,1.10287064554509
"---Polydora_hoplura","pca","g1",0.959096666666667,0.015893070887086,"flat_priors",0.040903333333333,0.0426477692550973,1.10318352961093
"---Palaemon_macrodactylus","pca","g1",0.957956022003004,0.00151150347779561,"jim_priors2",0.042043977996996,0.0438892569505285,1.10634163609429
"---Palaemon_macrodactylus","pca","g1",0.956655488400488,0.00270536808998347,"jim_priors1",0.043344511599512,0.0453083812564368,1.10996269124543
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.9553,0.00912357569361884,"jim_priors3",0.0447,0.0467915837956662,1.11375991634244
"---Palaemon_macrodactylus","pca","g1",0.955088971501324,0.00174088692208534,"jim_priors2",0.044911028498676,0.0470228741392327,1.11435322464266
"---Palaemon_macrodactylus","pca","g1",0.952739942970891,0.00155767387368197,"jim_priors2",0.047260057029109,0.0496043620064252,1.12099677198813
"---Haminoea_japonica","untrans","g1",0.951996666666667,0.000518913740569741,"jim_priors3",0.048003333333333,0.0504238460218694,1.1231140132246
"---Hemigrapsus_sanguineus","untrans","g1",0.951936666666667,0.00658114742037748,"jim_priors3",0.048063333333333,0.0504900536100087,1.1232852434413
"---Acanthogobius_flavimanus","pca","g1",0.951681111111111,0.0100274322848696,"jim_priors3",0.048318888888889,0.0507721423959708,1.12401509176701
"---Palaemon_macrodactylus","pca","g1",0.951645142857143,0.00280943546249669,"jim_priors1",0.048354857142857,0.0508118572409042,1.12411788406139
"---Mutimo_cylindricus","pca","g1",0.94953,0.00967348634055495,"jim_priors3",0.05047,0.0531526123450549,1.13019299800978
"---Acanthogobius_flavimanus","pca","g1",0.949206666666667,0.0104309964873853,"jim_priors3",0.050793333333333,0.0535113533406842,1.1311269589055
"---Acanthogobius_flavimanus","pca","g1",0.949206666666667,0.0104309964873853,"jim_priors3",0.050793333333333,0.0535113533406842,1.1311269589055
"---Acanthogobius_flavimanus","pca","g1",0.949206666666667,0.0104309964873853,"jim_priors3",0.050793333333333,0.0535113533406842,1.1311269589055
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.946283333333333,0.00911134301998876,"jim_priors1",0.053716666666667,0.0567659439561798,1.13963543379363
"---Acanthogobius_flavimanus","pca","g1",0.946256666666667,0.00991086869761873,"jim_priors3",0.053743333333333,0.0567957249090272,1.13971358489668
"---Palaemon_macrodactylus","untrans","g1",0.94488,0.000331956819056977,"jim_priors3",0.0551199999999999,0.0583354500042333,1.14376143751745
"---Hemigrapsus_sanguineus","pca","g1",0.944603333333333,0.0104631584573857,"jim_priors3",0.055396666666667,0.0586454278868382,1.14457808916812
"---Acanthogobius_flavimanus","pca","g1",0.94396,0.0102421849994666,"jim_priors3",0.05604,0.0593669223272172,1.14648115977965
"---Palaemon_macrodactylus","untrans","g1",0.943733333333333,0.00031914044839233,"jim_priors3",0.056266666666667,0.0596213619666576,1.14715304425839
"---Palaemon_macrodactylus","pca","g1",0.94324533022533,0.00130593534287466,"jim_priors2",0.05675466977467,0.0601695740821871,1.14860201566312
"---Palaemon_macrodactylus","pca","g1",0.94324533022533,0.00130593534287466,"jim_priors2",0.05675466977467,0.0601695740821871,1.14860201566312
"---Palaemon_macrodactylus","pca","g1",0.94324533022533,0.00130593534287466,"jim_priors2",0.05675466977467,0.0601695740821871,1.14860201566312
"---Palaemon_macrodactylus","pca","g1",0.941901970076322,0.0015183601710153,"jim_priors2",0.058098029923678,0.0616816099439417,1.15260794783645
"---Palaemon_macrodactylus","pca","g1",0.941125771010415,0.00150068394002576,"jim_priors2",0.0588742289895851,0.0625572381535959,1.15493419004146
"---Didemnum_vexillum","pca","g1",0.940674046767694,0.00909260592485934,"jim_priors3",0.0593259532323061,0.0630674923329282,1.15629192390351
"---Didemnum_vexillum","pca","g1",0.940674046767694,0.00909260592485934,"jim_priors3",0.0593259532323061,0.0630674923329282,1.15629192390351
"---Didemnum_vexillum","pca","g1",0.940674046767694,0.00909260592485934,"jim_priors3",0.0593259532323061,0.0630674923329282,1.15629192390351
"---Polydora_hoplura","pca","g1",0.939791958199428,0.0134895798655037,"flat_priors",0.060208041800572,0.0640652872960588,1.15895156773328
"---Hemigrapsus_sanguineus","pca","g1",0.936807636949517,0.010342702499933,"jim_priors3",0.063192363050483,0.0674550041631315,1.16803270752727
"---Hemigrapsus_sanguineus","pca","g1",0.936807636949517,0.010342702499933,"jim_priors3",0.063192363050483,0.0674550041631315,1.16803270752727
"---Hemigrapsus_sanguineus","pca","g1",0.936807636949517,0.010342702499933,"jim_priors3",0.063192363050483,0.0674550041631315,1.16803270752727
"---Hemigrapsus_sanguineus","pca","g1",0.936493333333333,0.00981662281463278,"jim_priors3",0.063506666666667,0.0678132608169488,1.16899663442403
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.934776666666667,0.00851896004393426,"jim_priors3",0.065223333333333,0.0697742419758013,1.17428697010941
"---Hemigrapsus_sanguineus","pca","g1",0.928366206896552,0.0100970873786408,"jim_priors3",0.071633793103448,0.0771611381061721,1.19443119708301
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.92818,0.00911070440974124,"jim_priors3",0.07182,0.0773772328643151,1.19502566594432
"---Hemigrapsus_sanguineus","pca","g1",0.928136666666667,0.0102195053438382,"jim_priors3",0.0718633333333329,0.0774275340197739,1.19516408504831
"---Palaemon_macrodactylus","untrans","g1",0.928036666666667,0.0012881977184292,"jim_priors2",0.071963333333333,0.0775436315375467,1.1954836242951
"---Didemnum_vexillum","pca","g1",0.92587,0.00874538401034515,"jim_priors3",0.07413,0.0800652359402508,1.20244504188963
"---Didemnum_vexillum","pca","g1",0.924873333333333,0.0090218931273223,"jim_priors3",0.075126666666667,0.0812291412878164,1.20567190595582
"---Palaemon_macrodactylus","pca","g1",0.924688571428572,0.00279277601936325,"jim_priors1",0.075311428571428,0.0814451815437469,1.20627181793993
"---Palaemon_macrodactylus","pca","g1",0.924688571428572,0.00279277601936325,"jim_priors1",0.075311428571428,0.0814451815437469,1.20627181793993
"---Palaemon_macrodactylus","pca","g1",0.924688571428572,0.00279277601936325,"jim_priors1",0.075311428571428,0.0814451815437469,1.20627181793993
"---Mutimo_cylindricus","untrans","g1",0.924026666666667,0.0101488317507735,"jim_priors3",0.075973333333333,0.0822198493549966,1.20842541164149
"---Palaemon_macrodactylus","untrans","g1",0.92386,0.00247874410298782,"jim_priors1",0.07614,0.0824150845366181,1.20896877611538
"---Palaemon_macrodactylus","untrans","g1",0.923583333333333,0.00119047619047619,"jim_priors2",0.076416666666667,0.0827393305061811,1.20987173399612
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.92282,0.00887841759177914,"jim_priors2",0.07718,0.0836349450597083,1.21236934066646
"---Hemigrapsus_sanguineus","untrans","g1",0.921713333333333,0.00646026001876424,"jim_priors3",0.0782866666666669,0.0849360249390631,1.21600685988743
"---Palaemon_macrodactylus","untrans","g1",0.92143,0.00243791964190557,"jim_priors1",0.07857,0.0852696352408756,1.21694131400612
"---Palaemon_macrodactylus","pca","g1",0.921327727272727,0.00283902464910186,"jim_priors1",0.078672272727273,0.0853901064718361,1.21727893458399
"---Batillaria_attramentaria","untrans","g1",0.920843333333333,0.00564971751412429,"jim_priors2",0.079156666666667,0.0859610574364807,1.21888029877573
"---Mutimo_cylindricus","pca","g1",0.920246666666667,0.0101888402859277,"jim_priors3",0.079753333333333,0.0866651694835439,1.22085804527612
"---Palaemon_macrodactylus","pca","g1",0.919652048414266,0.00279761270382607,"jim_priors1",0.080347951585734,0.0873677731966955,1.22283475385928
"---Hemigrapsus_sanguineus","pca","g1",0.91964472909939,0.0101785928963573,"jim_priors3",0.08035527090061,0.0873764273941983,1.2228591215622
"---Hemigrapsus_takanoi","untrans","g1",0.919093333333333,0.0315416672214308,"jim_priors1",0.080906666666667,0.0880287819880466,1.22469736091518
