"priorfile","species","type","comparison","chosen","priorShip","post","oob"
"/home/stranda/projects/co_move/flat_priors.csv","Gracilaria_vermiculophylla_mtDNA","pca","ShipVadmix","g2",0.5,0.758443333333333,0.0122153702450508
"/home/stranda/projects/co_move/flat_priors.csv","Gracilaria_vermiculophylla_mtDNA","untrans","ShipVadmix","g2",0.5,0.794881666666667,0.00738107265743397
"/home/stranda/projects/co_move/flat_priors.csv","Gracilaria_vermiculophylla_mtDNA","pca","ShipVML","g2",0.5,0.779828333333333,0.00872142800065449
"/home/stranda/projects/co_move/flat_priors.csv","Gracilaria_vermiculophylla_mtDNA","untrans","ShipVML","g2",0.5,0.842108333333333,0.00352167609712292
"/home/stranda/projects/co_move/flat_priors.csv","Gracilaria_vermiculophylla_mtDNA","pca","AdmixVML","g2",0.5,0.596868333333333,0.208130271857037
"/home/stranda/projects/co_move/flat_priors.csv","Gracilaria_vermiculophylla_mtDNA","untrans","AdmixVML","g2",0.5,0.548773333333333,0.182919683409889
"/home/stranda/projects/co_move/jim_priors1.csv","Gracilaria_vermiculophylla_mtDNA","pca","ShipVadmix","g2",0.5,0.74718,0.012259214426642
"/home/stranda/projects/co_move/jim_priors1.csv","Gracilaria_vermiculophylla_mtDNA","untrans","ShipVadmix","g2",0.5,0.793685,0.00732579086325381
"/home/stranda/projects/co_move/jim_priors1.csv","Gracilaria_vermiculophylla_mtDNA","pca","ShipVML","g2",0.5,0.777805,0.00873664864288949
"/home/stranda/projects/co_move/jim_priors1.csv","Gracilaria_vermiculophylla_mtDNA","untrans","ShipVML","g2",0.5,0.843276666666666,0.00351216319572604
"/home/stranda/projects/co_move/jim_priors1.csv","Gracilaria_vermiculophylla_mtDNA","pca","AdmixVML","g2",0.5,0.596058333333334,0.208913457938048
"/home/stranda/projects/co_move/jim_priors1.csv","Gracilaria_vermiculophylla_mtDNA","untrans","AdmixVML","g2",0.5,0.55674,0.182765332868376
"/home/stranda/projects/co_move/jim_priors3.csv","Gracilaria_vermiculophylla_mtDNA","pca","ShipVadmix","g2",0.5,0.748936666666667,0.0122916209956442
"/home/stranda/projects/co_move/jim_priors3.csv","Gracilaria_vermiculophylla_mtDNA","untrans","ShipVadmix","g2",0.5,0.796393214285714,0.00734104101337248
"/home/stranda/projects/co_move/jim_priors3.csv","Gracilaria_vermiculophylla_mtDNA","pca","ShipVML","g2",0.5,0.791841666666667,0.00863581188808262
"/home/stranda/projects/co_move/jim_priors3.csv","Gracilaria_vermiculophylla_mtDNA","untrans","ShipVML","g2",0.5,0.845263333333333,0.00352548125768167
"/home/stranda/projects/co_move/jim_priors3.csv","Gracilaria_vermiculophylla_mtDNA","pca","AdmixVML","g2",0.5,0.591368333333333,0.208464698030316
"/home/stranda/projects/co_move/jim_priors3.csv","Gracilaria_vermiculophylla_mtDNA","untrans","AdmixVML","g2",0.5,0.546115000000001,0.18273103274804
"/home/stranda/projects/co_move/jim_priors2.csv","Gracilaria_vermiculophylla_mtDNA","pca","ShipVadmix","g2",0.5,0.758835952380952,0.0121600884508707
"/home/stranda/projects/co_move/jim_priors2.csv","Gracilaria_vermiculophylla_mtDNA","untrans","ShipVadmix","g2",0.5,0.799014047619048,0.00736582250731531
"/home/stranda/projects/co_move/jim_priors2.csv","Gracilaria_vermiculophylla_mtDNA","pca","ShipVML","g2",0.5,0.79123,0.00873664864288949
"/home/stranda/projects/co_move/jim_priors2.csv","Gracilaria_vermiculophylla_mtDNA","untrans","ShipVML","g2",0.5,0.845921666666666,0.00352738383796104
"/home/stranda/projects/co_move/jim_priors2.csv","Gracilaria_vermiculophylla_mtDNA","pca","AdmixVML","g1",0.5,0.598108333333334,0.209010641612334
"/home/stranda/projects/co_move/jim_priors2.csv","Gracilaria_vermiculophylla_mtDNA","untrans","AdmixVML","g2",0.5,0.556726666666666,0.18321695111947
"/home/stranda/projects/co_move/flat_priors.csv","Undaria_pinnatifida","pca","ShipVadmix","g2",0.5,0.718748888888889,0.0252308295261991
